misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
5060,1821960,314,10.36127512,1.3531663060188293,-0.0017451032996177672,14.587910068035125
5080,1829160,314,9.50352607,1.352953016757965,-0.0027166773652425036,25.983236503601074
5100,1836360,314,12.39127757,1.3535785317420959,-0.004719417542219162,26.52809997200966
5120,1843560,314,14.11682953,1.3520766735076903,-0.0055207408964633945,0.4765479326248169
5140,1850760,314,15.985515470000001,1.3524091601371766,-0.002333903033286333,15.342224025726319
5160,1857960,314,13.057837280000001,1.351991641521454,-0.010341748595237732,3.9541296541690825
5180,1865160,314,7.79214939,1.3521633744239807,-0.007633858697954565,14.924494713544846
5200,1872360,314,14.710902449999999,1.3510858535766601,-0.004218213632702828,27.823724454641344
5220,1879560,314,11.45980292,1.3503527522087098,0.001325307786464691,34.50924924015999
5240,1886760,314,13.494620980000002,1.3494068503379821,-0.00934117566794157,10.405615186691284
5260,1893960,314,13.47895287,1.3488336563110352,-0.0033473923802375795,5.983358365297318
5280,1901160,314,11.04341385,1.3496145725250244,0.005207469814922661,15.107040619850158
5300,1908360,314,11.810709939999999,1.3497926473617554,-0.004955585114657879,59.01663227081299
5320,1915560,314,7.320531580000001,1.3500787973403932,-0.004294203221797943,14.454866805672646
5340,1922760,314,12.36717067,1.3499073743820191,0.0028386838734149934,17.621796441078185
5360,1929960,314,15.288761160000004,1.3486076712608337,-0.00691470205783844,8.189115780591965
5380,1937160,314,12.154100360000003,1.3492777585983275,-0.012492506206035614,6.429482901096344
5400,1944360,314,14.219640679999998,1.3496716737747192,-0.00996965542435646,30.085018730163576
5420,1951560,314,11.04352899,1.350230085849762,0.0004295453429222107,6.86799830198288
5440,1958760,314,9.923414849999999,1.3496035099029542,0.0008803948760032654,17.450448662042618
5460,1965960,314,12.28202765,1.3515061736106873,-0.008980386797338724,8.11394044160843
5480,1973160,314,9.90305412,1.3512775182724,0.004523002542555332,31.328350645303725
5500,1980360,314,14.007154989999998,1.3506627440452577,-0.00159003846347332,1.8864122927188873
5520,1987560,314,12.68709515,1.3498905777931214,-0.005681680329144001,17.909969806671143
5540,1994760,314,11.302655650000002,1.3501650810241699,-0.0034429341554641723,9.8186009734869
5560,2001960,314,12.467410240000001,1.3509997844696044,-0.007555928826332092,20.072697734832765
5580,2009160,314,12.724359770000001,1.351223111152649,-0.0008838092908263206,12.59146699309349
5600,2016360,314,12.798467639999998,1.3514947414398193,-0.002986479550600052,26.718771362304686
5620,2023560,314,8.808209170000001,1.3517683506011964,-0.004169559478759766,34.48813667297363
5640,2030760,314,13.59475081,1.3522120237350463,-0.008008889853954315,1.6021513372659684
5660,2037960,314,12.154308980000001,1.3532912254333496,0.0005390358157455922,40.20717033147812
5680,2045160,314,10.61823294,1.3527204513549804,0.003516746510285884,17.988290214538573
5700,2052360,314,13.886319929999999,1.352549922466278,0.0010019928216934205,18.412873768806456
5720,2059560,314,12.920974919999999,1.353328537940979,-0.006777523085474968,34.03890247344971
5740,2066760,314,13.128619189999997,1.353738284111023,0.005831617116928101,31.5781081199646
5760,2073960,314,13.94661302,1.3525331377983094,0.010535459965467453,22.616565823554993
5780,2081160,314,14.300231079999998,1.3515995740890503,-0.004491982609033584,1.4276168525218964
5800,2088360,314,16.38276298,1.3520816206932067,-0.003221285715699196,1.6258289232850074
5820,2095560,314,11.22127017,1.3519142031669618,0.0079540953040123,37.15183610916138
5840,2102760,314,14.359950060000001,1.3530444145202636,-0.000286874920129776,9.400310683250428
5860,2109960,314,15.698450339999997,1.3529353141784668,0.0062001019716262816,28.855598708987237
5880,2117160,314,12.450542310000001,1.3523534893989564,-0.00654190182685852,6.858808210492134
5900,2124360,314,13.38411775,1.3512320637702941,-0.0003458127379417419,32.4231773018837
5920,2131560,314,10.18682621,1.3516102075576781,0.0033494120463728903,33.410708332061766
5940,2138760,314,13.82980036,1.3515591144561767,-0.0071902558207511905,20.29698371887207
5960,2145960,314,12.83902881,1.3517336010932923,-0.00074903704226017,11.544872105121613
5980,2153160,314,13.527637499999999,1.3522789478302002,-0.001140723004937172,20.255557149648666
6000,2160360,314,10.898911340000002,1.351220190525055,0.0009011476300656796,22.656545066833495
6020,2167560,314,12.37975773,1.351187264919281,0.004948465712368488,38.945013999938965
6040,2174760,314,11.51161648,1.3505001068115234,-0.003627012670040131,10.549465560913086
6060,2181960,314,10.387601899999998,1.351125705242157,0.010033729672431945,25.61208286881447
6080,2189160,314,10.73392361,1.3507559537887572,-0.003981906967237592,28.85011444091797
6100,2196360,314,11.119120609999998,1.3501715540885926,-0.02081392388790846,11.971400475502014
6120,2203560,314,13.335115319999998,1.351011323928833,-0.006306760758161545,21.589725971221924
6140,2210760,314,13.210082810000001,1.3516452670097352,-0.010665476322174072,12.59982076883316
6160,2217960,314,13.981068729999999,1.3521624207496643,-0.0006776869297027588,29.974469327926634
6180,2225160,314,14.393039530000001,1.3518472909927368,-0.003537542372941971,19.44563409090042
6200,2232360,314,10.447517960000003,1.3525040745735168,0.007670349627733231,23.237009906768797
6220,2239560,314,12.650870749999997,1.3507228374481202,0.0002374227624386549,26.89248456954956
6240,2246760,314,8.62853202,1.3511908292770385,-0.0005849763751029968,37.6033257484436
6260,2253960,314,9.58524798,1.3510346293449402,0.005548259615898133,13.322632014751434
6280,2261160,314,13.53647191,1.3511008977890016,-0.001284918189048767,16.072341871261596
6300,2268360,314,11.44055299,1.3504438638687133,-0.015244554355740547,15.977577090263367
6320,2275560,314,12.384311409999999,1.3490045428276063,-0.003575851209461689,17.30874773263931
6340,2282760,314,11.514653019999999,1.3485830783843995,-0.00447758212685585,37.432004833221434
6360,2289960,314,10.12649828,1.3493237257003785,0.0007786840200424194,18.57431915998459
6380,2297160,314,11.665598540000001,1.34798504114151,-0.007718322053551674,12.587812501192094
6400,2304360,314,12.08824259,1.3485670924186706,0.0005162835121154785,29.740182304382323
6420,2311560,314,12.70727886,1.3488587498664857,-0.002635224163532257,7.119283920526504
6440,2318760,314,13.097477199999997,1.3496008276939393,-0.0006555430591106415,25.019125747680665
6460,2325960,314,14.455438610000002,1.348979616165161,-0.009053332731127739,35.48389673233032
6480,2333160,314,16.09366478,1.3490193486213684,0.00026881854282692077,4.895758837461472
6500,2340360,314,13.8399411,1.3487854242324828,-0.002582761645317078,5.889530432224274
6520,2347560,314,13.10229614,1.3478378295898437,0.004884464293718338,15.763374996185302
6540,2354760,314,8.97850452,1.3464112043380738,-0.005412607640028,3.7446705281734465
6560,2361960,314,10.398453969999998,1.3465727686882019,0.001498483121395111,32.920628333091734
6580,2369160,314,15.10660368,1.346053159236908,-0.012163332104682923,16.949867424368858
6600,2376360,314,13.81479423,1.3455284595489503,0.001342315599322319,28.86332850456238
6620,2383560,314,13.511402579999997,1.3458301544189453,-0.010139226727187634,6.7225399792194365
6640,2390760,314,10.643879660000003,1.3456844568252564,0.005029310286045074,18.487832522392274
6660,2397960,314,14.028046080000001,1.345995807647705,-0.0038870211690664293,27.512583595514297
6680,2405160,314,13.82026187,1.3466201305389405,-0.0009379098191857338,38.451334953308105
6700,2412360,314,13.237035469999999,1.3471432209014893,0.0016795523464679719,29.004353046417236
6720,2419560,314,10.65493014,1.3479421973228454,-0.004953321069478989,15.880181890726089
6740,2426760,314,11.958076409999999,1.3480858325958252,0.0012045297771692276,3.368137222528458
6760,2433960,314,13.60361856,1.3466304898262025,0.006566856801509857,7.23980546593666
6780,2441160,314,12.688929929999999,1.3484159708023071,0.00016374546103179455,7.035037899017334
6800,2448360,314,12.37300704,1.348768699169159,0.0038445025682449343,32.56407489776611
6820,2455560,314,14.58358159,1.3486493468284606,-0.008594869449734688,12.59941074848175
6840,2462760,314,15.02610731,1.3496180176734924,0.006783424157765694,50.53962526321411
6860,2469960,314,11.09936263,1.3500617146492004,-0.0071528956294059755,10.853392916917802
6880,2477160,314,10.083297230000001,1.350200366973877,-0.005292494967579842,18.743337678909302
6900,2484360,314,6.871928370000001,1.3493338584899903,0.0037793056457303465,23.077683782577516
6920,2491560,314,12.360952080000002,1.3489214181900024,0.0067579193040728566,20.207397985458375
6940,2498760,314,12.76048344,1.3492354989051818,-0.004921929538249969,34.84978601038456
6960,2505960,313,11.320407409999998,1.3490844368934631,-0.005818438902497292,25.097293445467947
6980,2513160,313,9.726762709999997,1.3495389223098755,0.0040718063712120054,23.058168029785158
7000,2520360,313,16.555445590000005,1.348272407054901,-0.005836132448166609,4.807006359100342
7020,2527560,313,11.997226749999998,1.3474852800369264,-0.003744184970855713,10.588440644741059
7040,2534760,313,13.169060320000002,1.347390592098236,-0.0006282985210418701,24.71749165058136
7060,2541960,313,19.338883420000002,1.3456061244010926,-0.002779607195407152,22.313616156578064
7080,2549160,313,15.507830879999998,1.3465928196907044,-0.007525772228837014,37.06335506439209
7100,2556360,313,16.561110219999996,1.3457078218460083,-0.0031312387902289627,22.318791604042055
7120,2563560,313,17.51012852,1.3443089246749877,-0.0004162721335887909,30.314313673973082
7140,2570760,313,15.465249379999998,1.3444188952445983,-0.0012011852115392685,21.393620869517328
7160,2577960,313,18.17644937,1.3444563746452332,-0.005886327475309372,8.527940437197685
7180,2585160,313,18.39924228,1.3443489074707031,-0.005257130414247513,15.454468849301339
7200,2592360,313,17.637201790000002,1.34401878118515,0.002430194616317749,11.12681919336319
7220,2599560,313,16.77769564,1.3443288207054138,0.013963480293750764,26.688263511657716
7240,2606760,313,18.523537150000003,1.3447647571563721,-0.015161513304337858,4.63962052166462
7260,2613960,313,19.99415477,1.34397394657135,-0.009765121340751647,0.39532398283481596
7280,2621160,313,17.331866599999998,1.3436304807662964,-0.01292063370347023,32.89729183912277
7300,2628360,313,16.945464920000003,1.3442520022392273,-0.00854252725839615,0.3258906424045563
7320,2635560,313,15.907002519999999,1.345198404788971,-0.005134128779172897,7.18520068526268
7340,2642760,313,16.240860429999998,1.3441057085990906,-0.0072475910186767575,11.122745069861413
7360,2649960,313,15.30287139,1.3434737205505372,-0.0041470184922218324,33.443106174468994
7380,2657160,313,17.077441269999998,1.3439999103546143,-0.008295399323105811,0.7594919115304947
7400,2664360,313,20.45212288,1.3432448148727416,-0.01372809144668281,0.3312230408191681
7420,2671560,313,15.172790090000001,1.3428836941719056,-0.0038600664120167494,17.425119531154632
7440,2678760,313,18.841283190000002,1.3425108194351196,-0.010838526487350463,0.39188955575227735
7460,2685960,313,14.251332909999997,1.342277991771698,-0.00012962520122528076,11.324036031961441
7480,2693160,313,15.853534619999998,1.3418301582336425,0.005094074923545122,9.760853660106658
7500,2700360,313,11.503209310000003,1.3415126085281373,0.0034980546683073045,26.737749767303466
7520,2707560,313,15.151316820000002,1.341426920890808,0.0028656914830207823,17.65812909603119
7540,2714760,313,15.630148739999997,1.3419471025466918,0.004180723428726196,26.396701303124427
7560,2721960,313,11.53808717,1.3427246928215026,0.004786912724375725,11.185502254962921
7580,2729160,313,12.475779589999995,1.3429327249526977,0.0030993878841400146,12.310648447275161
7600,2736360,313,13.570330590000001,1.3431662440299987,0.001987316459417343,19.346781063079835
7620,2743560,313,15.414849929999997,1.3421724796295167,-0.0034705013036727904,14.081581342220307
7640,2750760,313,11.553248819999999,1.3420948743820191,0.012964355945587158,18.481451922655104
7660,2757960,313,12.73193561,1.3421066045761108,0.012338093109428882,23.629160714149474
7680,2765160,313,14.210619780000002,1.3427673697471618,-0.012070370838046074,8.55232267677784
7700,2772360,313,13.64971746,1.343433678150177,0.015666228905320167,16.50539412498474
7720,2779560,313,13.486597300000003,1.3437923431396483,0.004934251797385514,4.953177523612976
7740,2786760,313,15.013372769999998,1.3440842866897582,0.0009459786117076874,12.770287585258483
7760,2793960,313,14.63740635,1.3435228228569032,0.012111292593181134,14.575123500823974
7780,2801160,313,13.55427755,1.344065546989441,0.010290724784135818,27.619690895080566
7800,2808360,313,15.07471128,1.3431415796279906,-0.0055016748607158664,11.603325325250626
7820,2815560,313,14.5705292,1.343029296398163,-0.0009266301989555359,28.288789463043212
7840,2822760,313,12.84739912,1.3434387803077699,-0.012125847861170769,9.547495481371879
7860,2829960,313,14.42793804,1.3423925757408142,0.010673539713025093,29.63116512298584
7880,2837160,313,9.504811160000001,1.3424883127212524,-0.0017354527488350868,12.858236715197563
7900,2844360,313,13.787251850000002,1.3426861405372619,-0.003017859533429146,7.2045076310634615
7920,2851560,313,13.760223140000003,1.341894507408142,-0.007536059617996216,15.04720311164856
7940,2858760,313,13.256750120000001,1.3412879347801208,-0.012613198161125183,9.105777782201766
7960,2865960,313,18.038495419999997,1.34062579870224,-0.00117348856292665,21.76637755930424
7980,2873160,313,13.22975784,1.3408133268356324,-0.007509045302867889,11.382272171974183
8000,2880360,313,14.045701799999996,1.3400737047195435,0.0005390856647863984,16.315838241577147
8020,2887560,313,11.982014569999999,1.3404442429542542,0.002021845430135727,33.780518245697024
8040,2894760,313,16.01489745,1.3411215186119079,0.004765252768993378,12.215111541748048
8060,2901960,313,15.521544079999996,1.3407883763313293,-0.004307654872536659,35.82054271697998
8080,2909160,313,13.771059359999997,1.3404136419296264,-0.004406635090708733,37.58712272644043
8100,2916360,313,14.246202300000002,1.3409827470779419,0.0018175497651100158,10.797057413309812
